"title_id","author_id","title","volumes","publisher_location","publisher_name","publication_year"
2836,1013,"An Artful Widow: A Novel",3,"London","Tinsley Brothers",1880
2837,1014,"Minsterborough: A Tale of English Life",3,"London","Chatto and Windus",1876
2838,1015,"The High Mills",3,"London","Henry S. King",1875
2839,1016,"Drifted Together: A Novel",3,"London","Samuel Tinsley",1879
2840,1017,"Mary Hollis: A Romance of the Days of Charles II and William Prince of Orange",3,"London","J. C. Hotten",1872
2841,1018,"The Swintons of Wandale: A Novel",3,"London","Chapman and Hall",1879
2842,1019,"Cleansing Fires: A Novel",3,"London","Remington",1877
2843,1019,"Folly: A Novel",3,"London","Remington",1880
2844,1019,"Kismet: A Novel",2,"London","Remington",1877
2845,1020,"Prinkle and his Friends: A Novel",3,"London","Tinsley Brothers",1877
2846,256,"Woman's a Riddle: or, Baby Warmstrey",3,"London","Henry S. King",1874
2847,1022,"Cousin Deborah's Whim: A Tale",3,"London","Samuel Tinsley",1878
2848,1023,"Ribblesdale: or, Lancashire Sixty Years Ago",3,"London","Smith, Elder",1874
2849,1024,"Geraldine and her Suitors",3,"London","Hurst and Blackett",1880
2850,1024,"Winnie's History",3,"London","Hurst and Blackett",1877
2851,1025,"In Manbury City",3,"London","Tinsley Brothers",1876
2852,1026,"The D'Eyncourts of Fairleigh",3,"London","Samuel Tinsley",1872
2853,1027,"Effie Maxwell",3,"London","Hurst and Blackett",1876
2854,1027,"Glenmavis",3,"London","Hurst and Blackett",1879
2855,1028,"Love Without Stings: A Novel",3,"London","Tinsley Brothers",1877
2856,1029,"Alden of Aldenholme: A Novel",3,"London","Tinsley Brothers",1873
2857,1030,"Amy Lawrence, the Freemason's Daughter: A Novel",3,"London","Tinsley Brothers",1879
2858,1028,"A Woman of Mind: A Novel",3,"London","Sampson Low",1879
2859,1032,"The Martyr of Glencree: A Romance Too True",3,"London","Sampson Low",1878
2860,1033,"Rupert Redmond: A Tale of England, Ireland and America",3,"London","Samuel Tinsley",1874
2861,1034,"True Marriage",3,"London","Hurst and Blackett",1878
2862,1035,"The Breaking of the Storm",3,"London","Bentley",1877
2863,1036,"Ida Milton: or, To be or not to be. A Novel",3,"London","Tinsley Brothers",1877
2864,1037,"The Afghan Knife",3,"London","Sampson Low",1879
2865,1038,"A Fireside King",3,"London","Tinsley Brothers",1880
2866,1039,"Two Worlds of Fashion: A Novel",3,"London","Tinsley Brothers",1872
2867,1040,"Angela Pisani: A Novel",3,"London","Bentley",1875
2868,1041,"True Women: A Love Story",3,"London","Samuel Tinsley",1877
2869,1042,"Tom Singleton, Dragoon and Dramatist",3,"London","Chapman and Hall",1879
2870,1043,"Sophie Crewe: A Novel",3,"London","John Maxwell",1878
2871,1043,"The Scarsdale Peerage: A Novel",3,"London","John Maxwell",1880
2872,1043,"Lottie's Fortune: A Novel",3,"London","John Maxwell",1879
2873,1044,"By No Fault of their Own: A Novel",3,"London","Tinsley Brothers",1873
2874,1045,"The Sword of Damocles",3,"London","Chapman and Hall",1880
2875,1046,"The Democracy: A Novel",3,"London","Chatto and Windus",1876
2876,1047,"For this Cause: A Novel",3,"London","Sampson Low",1877
2877,1047,"Tom Delany: A Novel",3,"London","Samuel Tinsley",1873
2878,1048,"A Woman at the Wheel",3,"London","Hurst and Blackett",1873
2879,1049,"The Gilded Age",3,"London","Routledge",1873
2880,1050,"Hurree de Fontenay: or, All Lost save Honour. A Novel",3,"London","Tinsley Brothers",1876
2881,1051,"Paolo Gianini",3,"London","Tinsley Brothers",1879
2882,1052,"The Warnaghs: A Romance of the Arctic Ocean",3,"London","Tinsley Brothers",1875
2883,1052,"A Strange Love",3,"London","Tinsley Brothers",1874
2884,1052,"The Three Oxonians",3,"London","Hurst and Blackett",1873
2885,1053,"The Child of the Desert",3,"London","Chapman and Hall",1878
2886,1053,"Old Times in Ireland",3,"London","Chapman and Hall",1873
2887,1054,"Elma: or, Fiction and Fact. A Novel",3,"London","Tinsley Brothers",1877
2888,952,"Bound by the Law: A Romance of Married Life",3,"London","Ellissen and Co.",1880
2889,1056,"Claude Hambro: A Novel",3,"London","Samuel Tinsley",1875
2890,1057,"Patty's Dream: A Novel",3,"London","Remington",1879
2891,1058,"Seacliffe",3,"London","Provost",1877
2892,1059,"Won in a Canter: A Novel",3,"London","Bentley",1874
2893,1060,"Too Fair to Go Free: A Novel",3,"London","Samuel Tinsley",1876
2894,1061,"Mary Browne",3,"London","Smith, Elder",1880
2895,1062,"The Old Love is the New: A Novel",3,"London","Samuel Tinsley",1880
2896,1063,"A Distinguished Man: A Humorous Romance",3,"London","Kegan Paul",1879
2897,1064,"Penelope's Web: A Story",3,"London","Samuel Tinsley",1876
2898,1065,"Shoddy: A Yorkshire Tale of Home",3,"London","Tinsley Brothers",1877
2899,1066,"The House of Clarisford: A Prophecy",3,"London","Samuel Tinsley",1877
2900,1067,"Charlie: A Waif's History, Told by Himself",3,"London","Samuel Tinsley",1880
2901,1068,"A Dreamer",3,"Edinburgh","Blackwood",1880
2902,1069,"Magnum Bonum: or, Mother Carey's Brood",3,"London","Macmillan",1879
2903,1070,"She Reigns Alone",3,"London","Samuel Tinsley",1877
2904,1803,"Anne Hathaway: or, Shakespeare in Love",3,"London","Bentley",1845
2905,1423,"Bannerford: or, The Valley of Gold. A Tale of our own Times",3,"London","Bentley",1853
2906,1,"Constancy and Contrition: A Novel",3,"London","Bentley",1844
2907,1,"Hennebon: or, The Countess of Montford; and Bertha of Burgundy",3,"London","Bentley",1835
2908,1807,"Dudley Cranbourne: or, A Woman's History",3,"London","Bentley",1849
2909,1797,"The Busy-Body: A Novel",3,"London","Bentley",1843
2910,1346,"The Clintons: or, Deeps and Shallows of Life",3,"London","Bentley",1853
2911,1809,"The Confessor: A Novel",3,"London","Bentley",1851
2912,1792,"The Countess of Salisbury: To which is added The Maid of Corinth",3,"London","Bentley",1840
2914,1,"Agnes Valmar: A Novel",3,"London","Chapman and Hall",1854
2915,1,"Deverell: A Novel",3,"London","Chapman and Hall",1856
2916,93,"Creeds",3,"London","Hurst and Blackett",1859
2917,1425,"The Colonel: A Novel of Fashionable Life",3,"London","Hurst and Blackett",1853
2918,69,"All for the Best: A Story of Quiet Life",3,"London","Hurst and Blackett",1861
2919,1,"Broomhill: or, The County Beauties: a Novel",3,"London","Henry Colburn",1853
2920,1,"County Society: A Novel",3,"London","Hurst and Blackett",1861
2921,1,"Cuthbert St. Elme, M.P.: or, Passages in the Life of a Politician",3,"London","Hurst and Blackett",1857
2922,1326,"The Curate of Overton: A Novel",3,"London","Hurst and Blackett",1854
2923,1296,"Doveton: or, The Man of Many Impulses",3,"London","Smith, Elder",1837
2924,1,"Eva Desmond: or, Mutation",3,"London","Smith, Elder",1858
2926,1512,"Arthur Clifton: A Novel",3,"London","T. C. Newby",1853
2927,1305,"Bathurst: or, Church, State and Country, as They Were. A Novel",3,"London","T. C. Newby",1850
2928,1791,"Black William's Grave: A Romance of North Wales",3,"London","T. C. Newby",1849
2929,2860,"Blanche and her Betrothed: A Tale. Told by Herself",3,"London","T. C. Newby",1855
2930,1,"Colonel Biron: A Novel",3,"London","T. C. Newby",1856
2931,1,"Cromwell in Ireland: An Historical Romance",3,"London","T. C. Newby",1847
2932,1816,"Diamonds and Dust: Being Grains from the Sands of Society",3,"London","T. C. Newby",1856
2933,1,"Ebb and Flow: A Novel",3,"London","T. C. Newby",1859
2934,1,"Edith Leslie: A Novel",3,"London","T. C. Newby",1844
2935,1701,"The Blacksmith's Daughter: A Historical Novel",3,"London","T. C. Newby",1845
2936,1,"The Count: or, Sublunary Life. By One in a High Station",3,"London","T. C. Newby",1848
2937,1073,"The Curate of Wildmere: A Novel",3,"London","T. C. Newby",1847
2938,1806,"The Changling: A Novel",3,"London","Saunders and Otley",1848
2939,2590,"Daughter Deborah: A Novel",3,"London","Saunders and Otley",1851
2940,1,"Dona Bianca of Navarre: A Romance",3,"London","Bosworth",1854
2941,1,"Adventures of a Gold Finder, by Himself",3,"London","Henry Colburn",1850
2942,1840,"The Captive: A Tale of the War of Guienne",3,"London","Edward Churton",1835
2944,1,"Clara Harrington: A Domestic Tale",3,"London","Henry Colburn",1851
2945,1,"The Engagement: A Novel",3,"London","Henry Colburn",1841
2946,3591,"The Commodore and His Daughter: A Novel",3,"London","A. K. Newman",1838
2947,3588,"Clara Cameron: or, The Belle of the Season",3,"London","Shoberl",1851
2949,3,"Carr of Carrlyon: A Novel",3,"London","Smith, Elder",1862
2950,5,"Jack Sheppard: A Romance",3,"London","Bentley",1839
2951,5,"The Constable of the Tower: An Historical Romance",3,"London","Chapman and Hall",1861
2952,5,"The Lord Mayor of London: or, City Life in the Last Century",3,"London","Chapman and Hall",1862
2953,5,"Guy Fawkes: or, The Gunpowder Treason. An Historical Romance",3,"London","Bentley",1841
2954,5,"The Lancashire Witches: A Romance of Pendle Forest",3,"London","Henry Colburn",1848
2955,5,"Old Saint Paul's: A Tale of the Plague and the Fire",3,"London","Hugh Cunningham",1841
2956,5,"The Miser's Daughter",3,"London","Cunningham and Mortimer",1843
2957,5,"Windsor Castle: An Historical Romance",3,"London","Henry Colburn",1843
2958,5,"James the Second: or, The Revolution of 1688. An Historical Romance",3,"London","Henry Colburn",1848
2959,5,"Saint James's: or, The Court of Queen Anne",3,"London","John Mortimer",1844
2960,1081,"The Cruize of the Daring: A Tale of the Sea",3,"London","T. C. Newby",1860
2961,1081,"The Frigate and the Lugger: A Nautical Romance",3,"London","T. C. Newby",1861
2962,1081,"The Lily of Devon: A Novel",3,"London","T. C. Newby",1859
2963,1081,"The Neapolitan Commander: A Romance of Sea and Land",3,"London","T. C. Newby",1863
2964,1081,"The Warhawk: A Tale of the Sea",3,"London","T. C. Newby",1855
2965,1081,"The Young Commander: A Novel",3,"London","T. C. Newby",1856
2966,1081,"The Two Buccaneers: A Tale of the Sea",3,"London","T. C. Newby",1858
2967,1081,"The Two Midshipmen: A Tale of the Sea",3,"London","T. C. Newby",1854
2968,12,"Joseph in the Snow",3,"London","Saunders and Otley",1861
2969,14,"Onwards",3,"London","Hurst and Blackett",1859
2970,14,"Rosa Grey: or, The Officer's Daughter",3,"London","Hurst and Blackett",1857
2971,14,"Anne Dysart: A Story of Every-day Life",3,"London","Henry Colburn",1850
2972,14,"The History of Herbert Lake",3,"London","Hurst and Blackett",1854
2974,19,"Simplicity and Fascination: or, Guardians and Wards",3,"London","Bentley",1855
2975,19,"The Baronet's Family: A Novel",3,"London","T. C. Newby",1852
2976,26,"Agatha Beaufort: or, Family Pride",3,"London","Smith, Elder",1852
2977,27,"Clara Leicester: A Novel",3,"London","Hurst and Blackett",1858
